customer_id,recency,total_purchases,total_spend,cluster,segment,response
1381,20,17.0,324.0,1,New,1
1384,10,7.0,62.0,1,New,0
1386,0,4.0,11.0,1,New,0
1388,11,8.0,112.0,1,New,0
1399,52,20.0,1515.0,0,At Risk,0
1402,1,21.0,1253.0,2,VIP,0
1403,40,6.0,38.0,1,New,0
1404,89,13.0,231.0,3,Loyal,0
1406,49,22.0,415.0,2,VIP,0
1407,5,7.0,57.0,1,New,0
1409,69,20.0,444.0,0,At Risk,0
1411,58,16.0,940.0,0,At Risk,0
1419,11,9.0,76.0,1,New,0
1440,84,25.0,1149.0,0,At Risk,0
1446,12,28.0,1226.0,2,VIP,0
1448,33,9.0,51.0,1,New,0
1453,59,27.0,1060.0,0,At Risk,0
1456,25,31.0,1180.0,2,VIP,0
1458,40,9.0,44.0,1,New,0
1459,16,14.0,928.0,2,VIP,0
1461,74,7.0,38.0,3,Loyal,0
1463,9,4.0,21.0,1,New,0
1473,0,7.0,72.0,1,New,0
1490,84,26.0,854.0,0,At Risk,0
1491,87,16.0,559.0,3,Loyal,0
1497,8,16.0,407.0,1,New,0
1501,21,44.0,1717.0,2,VIP,0
1502,67,7.0,52.0,3,Loyal,0
1503,31,1.0,107.0,1,New,0
1506,26,11.0,140.0,1,New,1
1509,80,22.0,523.0,0,At Risk,1
1513,72,29.0,1250.0,0,At Risk,0
1515,9,5.0,28.0,1,New,0
1517,92,5.0,51.0,3,Loyal,0
1518,29,24.0,749.0,2,VIP,0
1519,2,9.0,73.0,1,New,1
1523,25,8.0,96.0,1,New,0
1524,1,16.0,1104.0,2,VIP,1
1542,26,20.0,396.0,2,VIP,0
1544,51,17.0,1893.0,0,At Risk,0
1545,95,20.0,443.0,0,At Risk,0
1553,71,23.0,2283.0,0,At Risk,0
1570,8,26.0,1039.0,2,VIP,0
1577,14,15.0,1736.0,2,VIP,1
1581,18,4.0,17.0,1,New,1
1584,79,20.0,482.0,0,At Risk,0
1592,25,15.0,1724.0,2,VIP,0
1600,60,21.0,411.0,0,At Risk,0
1604,93,13.0,225.0,3,Loyal,0
1606,65,4.0,22.0,3,Loyal,0
1612,82,8.0,47.0,3,Loyal,0
1618,9,21.0,692.0,2,VIP,1
1619,2,17.0,1588.0,2,VIP,1
1626,37,6.0,49.0,1,New,1
1627,84,22.0,789.0,0,At Risk,0
1628,54,17.0,960.0,0,At Risk,0
1630,56,15.0,424.0,3,Loyal,0
1631,3,23.0,1282.0,2,VIP,1
1640,49,8.0,108.0,1,New,0
1646,36,7.0,46.0,1,New,0
1650,13,27.0,1643.0,2,VIP,0
1655,81,5.0,48.0,3,Loyal,0
1663,97,5.0,49.0,3,Loyal,0
1665,71,18.0,1750.0,0,At Risk,1
1672,74,15.0,461.0,3,Loyal,0
1676,30,15.0,266.0,1,New,0
1685,21,23.0,1482.0,2,VIP,0
1710,51,18.0,279.0,3,Loyal,0
1715,45,7.0,48.0,1,New,0
1717,43,13.0,273.0,1,New,0
1726,23,5.0,81.0,1,New,1
1729,14,20.0,1377.0,2,VIP,0
1734,37,11.0,81.0,1,New,0
1740,22,16.0,999.0,2,VIP,0
1743,99,11.0,801.0,3,Loyal,0
1744,67,5.0,54.0,3,Loyal,0
1745,88,20.0,1313.0,0,At Risk,1
1755,93,7.0,114.0,3,Loyal,0
1763,62,29.0,2524.0,0,At Risk,1
1764,92,15.0,270.0,3,Loyal,0
1772,2,19.0,2043.0,2,VIP,1
1773,38,6.0,57.0,1,New,0
1777,29,6.0,74.0,1,New,0
1802,23,21.0,680.0,2,VIP,0
1818,23,5.0,38.0,1,New,0
1826,0,15.0,1190.0,2,VIP,1
1829,55,21.0,1232.0,0,At Risk,1
1833,91,9.0,133.0,3,Loyal,0
1834,77,6.0,67.0,3,Loyal,0
1839,25,8.0,141.0,1,New,0
1857,2,7.0,83.0,1,New,1
1859,34,19.0,1890.0,2,VIP,1
1867,42,19.0,1336.0,2,VIP,1
1876,15,6.0,85.0,1,New,0
1878,83,6.0,37.0,3,Loyal,0
1880,17,8.0,93.0,1,New,0
1890,95,4.0,25.0,3,Loyal,0
1891,12,16.0,1754.0,2,VIP,1
1907,53,26.0,1477.0,0,At Risk,1
1911,6,29.0,1364.0,2,VIP,0
1915,57,20.0,1507.0,0,At Risk,0
1916,92,19.0,437.0,0,At Risk,0
1920,59,8.0,102.0,3,Loyal,0
1921,74,7.0,71.0,3,Loyal,0
1927,41,17.0,690.0,2,VIP,0
1928,73,7.0,83.0,3,Loyal,0
1940,26,4.0,18.0,1,New,0
1945,4,21.0,1400.0,2,VIP,0
1951,92,27.0,839.0,0,At Risk,0
1958,85,25.0,660.0,0,At Risk,0
1964,66,18.0,1603.0,0,At Risk,0
1966,96,26.0,1672.0,0,At Risk,0
1968,37,4.0,28.0,1,New,0
1970,14,7.0,103.0,1,New,0
1987,34,7.0,59.0,1,New,0
1990,74,17.0,1797.0,0,At Risk,0
1991,0,7.0,96.0,1,New,0
1992,2,16.0,893.0,2,VIP,1
1993,63,17.0,972.0,0,At Risk,0
1994,11,4.0,19.0,1,New,0
1998,82,7.0,84.0,3,Loyal,0
2002,81,17.0,1870.0,0,At Risk,0
2004,65,17.0,1168.0,0,At Risk,0
2005,86,8.0,75.0,3,Loyal,0
2008,93,19.0,1149.0,0,At Risk,0
2021,47,33.0,1388.0,2,VIP,0
2036,29,17.0,401.0,1,New,0
2055,37,6.0,49.0,1,New,0
2061,61,7.0,99.0,3,Loyal,0
2066,56,7.0,114.0,3,Loyal,0
2072,34,21.0,1064.0,2,VIP,1
2075,56,16.0,1047.0,0,At Risk,0
2079,0,22.0,1208.0,2,VIP,0
2088,98,24.0,1631.0,0,At Risk,0
2098,38,4.0,17.0,1,New,0
2106,99,5.0,34.0,3,Loyal,0
2109,60,28.0,1544.0,0,At Risk,1
2114,23,26.0,1315.0,2,VIP,1
2115,68,7.0,66.0,3,Loyal,0
2118,68,20.0,622.0,0,At Risk,0
2125,82,16.0,1102.0,0,At Risk,0
2130,4,8.0,147.0,1,New,1
2131,37,23.0,1307.0,2,VIP,0
2134,94,22.0,694.0,0,At Risk,0
2139,19,8.0,31.0,1,New,0
2147,91,23.0,2279.0,0,At Risk,0
2150,83,22.0,1482.0,0,At Risk,0
2154,33,8.0,44.0,1,New,0
2156,38,10.0,41.0,1,New,0
2157,49,10.0,77.0,1,New,0
2162,19,18.0,561.0,2,VIP,0
2166,55,4.0,23.0,3,Loyal,0
2173,23,5.0,32.0,1,New,0
2174,38,6.0,27.0,1,New,0
2176,40,16.0,1690.0,2,VIP,1
2181,45,14.0,1280.0,2,VIP,0
2186,30,22.0,2257.0,2,VIP,1
2202,98,6.0,69.0,3,Loyal,0
2217,46,4.0,23.0,1,New,0
2223,52,33.0,1826.0,0,At Risk,0
2225,54,21.0,1617.0,0,At Risk,1
2227,92,11.0,210.0,3,Loyal,0
2230,84,10.0,43.0,3,Loyal,0
2245,50,10.0,139.0,3,Loyal,0
2246,91,8.0,183.0,3,Loyal,0
2253,15,6.0,85.0,1,New,0
2254,95,21.0,1455.0,0,At Risk,0
2256,33,6.0,21.0,1,New,0
2258,76,5.0,42.0,3,Loyal,0
2261,5,4.0,16.0,1,New,0
2262,74,15.0,311.0,3,Loyal,0
2276,71,27.0,868.0,0,At Risk,0
2278,86,8.0,133.0,3,Loyal,0
2281,34,4.0,28.0,1,New,0
2285,0,15.0,335.0,1,New,0
2286,27,8.0,114.0,1,New,0
2292,94,5.0,24.0,3,Loyal,0
2295,57,22.0,825.0,0,At Risk,0
2296,4,4.0,30.0,1,New,0
2304,86,23.0,770.0,0,At Risk,0
2308,40,14.0,330.0,1,New,0
2315,55,6.0,96.0,3,Loyal,0
2320,98,23.0,635.0,0,At Risk,0
2324,12,31.0,1065.0,2,VIP,0
2326,15,6.0,85.0,1,New,0
2337,77,9.0,39.0,3,Loyal,0
2345,54,17.0,1244.0,0,At Risk,0
2350,87,20.0,1027.0,0,At Risk,0
2371,22,9.0,81.0,1,New,0
2375,75,4.0,22.0,3,Loyal,0
2379,31,14.0,1635.0,2,VIP,1
2387,9,17.0,275.0,1,New,1
2392,59,8.0,102.0,3,Loyal,0
2404,4,14.0,257.0,1,New,0
2406,63,19.0,519.0,0,At Risk,0
2407,10,20.0,1555.0,2,VIP,1
2408,20,32.0,733.0,2,VIP,0
2410,69,16.0,1097.0,0,At Risk,0
2415,99,16.0,953.0,0,At Risk,0
2416,83,20.0,1288.0,0,At Risk,0
2426,35,29.0,895.0,2,VIP,1
2428,23,9.0,78.0,1,New,0
2429,4,20.0,1338.0,2,VIP,0
2431,70,6.0,67.0,3,Loyal,0
2437,69,24.0,1611.0,0,At Risk,0
2445,87,6.0,63.0,3,Loyal,0
2447,71,7.0,69.0,3,Loyal,0
2452,8,17.0,318.0,1,New,1
2453,83,23.0,819.0,0,At Risk,0
2456,84,13.0,149.0,3,Loyal,0
2457,23,6.0,45.0,1,New,0
2461,79,6.0,43.0,3,Loyal,0
2471,39,12.0,299.0,1,New,0
2478,48,6.0,38.0,1,New,0
2488,80,10.0,64.0,3,Loyal,0
2493,34,18.0,608.0,2,VIP,0
2495,24,22.0,816.0,2,VIP,0
2499,38,18.0,563.0,2,VIP,0
2516,84,7.0,78.0,3,Loyal,0
2518,16,4.0,30.0,1,New,0
2521,10,5.0,59.0,1,New,1
2525,65,18.0,534.0,0,At Risk,1
2532,95,13.0,1651.0,0,At Risk,0
2534,4,10.0,188.0,1,New,0
2535,24,20.0,844.0,2,VIP,1
2541,7,7.0,48.0,1,New,0
2544,68,7.0,92.0,3,Loyal,0
2546,7,6.0,70.0,1,New,0
2549,80,5.0,27.0,3,Loyal,0
2552,11,24.0,446.0,2,VIP,1
2557,52,5.0,29.0,3,Loyal,0
2561,45,23.0,1371.0,2,VIP,0
2563,80,6.0,43.0,3,Loyal,0
2564,87,10.0,165.0,3,Loyal,0
2565,69,20.0,1334.0,0,At Risk,0
2569,38,5.0,46.0,1,New,0
2570,35,25.0,815.0,2,VIP,1
2574,27,21.0,1230.0,2,VIP,1
2579,95,26.0,835.0,0,At Risk,0
2587,21,7.0,20.0,1,New,0
2589,65,8.0,59.0,3,Loyal,0
2591,49,15.0,932.0,0,At Risk,0
2607,78,24.0,630.0,0,At Risk,0
2611,66,19.0,1910.0,0,At Risk,0
2612,33,25.0,1682.0,2,VIP,0
2613,16,12.0,237.0,1,New,0
2620,48,4.0,23.0,1,New,1
2625,30,14.0,350.0,1,New,0
2631,29,17.0,1149.0,2,VIP,0
2632,10,20.0,500.0,2,VIP,1
2634,10,9.0,69.0,1,New,1
2639,45,9.0,68.0,1,New,0
2656,63,5.0,59.0,3,Loyal,0
2661,95,10.0,44.0,3,Loyal,0
2666,21,23.0,907.0,2,VIP,0
2669,66,16.0,1127.0,0,At Risk,0
2674,79,16.0,1143.0,0,At Risk,1
2677,11,15.0,241.0,1,New,0
2678,62,11.0,209.0,3,Loyal,0
2681,1,19.0,461.0,2,VIP,0
2683,56,26.0,910.0,0,At Risk,0
2686,49,4.0,26.0,1,New,0
2694,44,5.0,24.0,1,New,0
2698,52,17.0,415.0,3,Loyal,0
2711,6,5.0,31.0,1,New,0
2712,85,20.0,715.0,0,At Risk,0
2715,11,11.0,180.0,1,New,1
2724,33,4.0,19.0,1,New,0
2727,19,13.0,409.0,1,New,0
2730,64,18.0,1231.0,0,At Risk,0
2736,88,23.0,849.0,0,At Risk,0
2740,81,11.0,90.0,3,Loyal,0
2747,90,20.0,2126.0,0,At Risk,0
2781,55,17.0,1792.0,0,At Risk,1
2782,23,17.0,404.0,1,New,0
2793,10,26.0,1034.0,2,VIP,0
2795,0,4.0,13.0,1,New,0
2797,34,26.0,1073.0,2,VIP,0
2798,54,26.0,1240.0,0,At Risk,1
2802,61,18.0,961.0,0,At Risk,0
2804,86,11.0,120.0,3,Loyal,1
2807,24,27.0,1001.0,2,VIP,0
2811,21,7.0,62.0,1,New,0
2814,6,5.0,31.0,1,New,0
2815,46,9.0,120.0,1,New,0
2826,28,7.0,37.0,1,New,0
2829,25,22.0,731.0,2,VIP,0
2831,99,26.0,1179.0,0,At Risk,0
2836,61,4.0,19.0,3,Loyal,0
2849,25,31.0,1180.0,2,VIP,0
2853,74,12.0,275.0,3,Loyal,0
2861,79,4.0,23.0,3,Loyal,0
2863,67,21.0,1052.0,0,At Risk,0
2868,33,8.0,57.0,1,New,1
2870,6,20.0,502.0,2,VIP,0
2874,20,5.0,32.0,1,New,0
2875,93,24.0,906.0,0,At Risk,0
2877,21,26.0,541.0,2,VIP,0
2878,93,15.0,414.0,3,Loyal,0
2882,31,16.0,995.0,2,VIP,0
2886,70,32.0,1217.0,0,At Risk,0
2891,51,23.0,928.0,0,At Risk,0
2894,74,21.0,2013.0,0,At Risk,1
2895,79,11.0,195.0,3,Loyal,0
2902,87,5.0,45.0,3,Loyal,0
2909,89,20.0,1264.0,0,At Risk,0
2918,72,9.0,91.0,3,Loyal,0
2920,63,16.0,990.0,0,At Risk,0
2926,62,23.0,1374.0,0,At Risk,0
2928,63,16.0,990.0,0,At Risk,0
2929,27,8.0,137.0,1,New,0
2930,7,20.0,1281.0,2,VIP,0
2931,95,22.0,1192.0,0,At Risk,0
2936,46,5.0,23.0,1,New,0
2937,47,25.0,871.0,2,VIP,0
2939,96,15.0,1631.0,0,At Risk,0
2942,20,15.0,486.0,1,New,0
2945,25,5.0,46.0,1,New,0
2948,76,10.0,185.0,3,Loyal,0
2952,80,8.0,76.0,3,Loyal,0
2958,53,10.0,57.0,3,Loyal,0
2961,86,15.0,382.0,3,Loyal,0
2963,56,21.0,1440.0,0,At Risk,0
2964,0,5.0,72.0,1,New,0
2968,53,24.0,902.0,0,At Risk,1
2975,89,24.0,1956.0,0,At Risk,0
2980,52,10.0,35.0,3,Loyal,0
2986,89,4.0,20.0,3,Loyal,0
2995,64,17.0,1084.0,0,At Risk,0
3005,7,23.0,1650.0,2,VIP,1
3006,83,5.0,43.0,3,Loyal,0
3007,49,6.0,40.0,1,New,0
3009,8,15.0,1766.0,2,VIP,1
3010,87,20.0,2069.0,0,At Risk,0
3011,23,11.0,227.0,1,New,0
3025,4,15.0,306.0,1,New,0
3032,97,11.0,193.0,3,Loyal,0
3033,56,11.0,318.0,3,Loyal,0
3037,32,16.0,410.0,1,New,0
3050,13,16.0,235.0,1,New,0
3056,63,29.0,1150.0,0,At Risk,0
3066,2,12.0,231.0,1,New,0
3068,1,6.0,43.0,1,New,0
3074,66,18.0,1828.0,0,At Risk,1
3075,47,15.0,382.0,1,New,0
3076,18,22.0,612.0,2,VIP,0
3081,65,4.0,20.0,3,Loyal,0
3083,88,18.0,373.0,3,Loyal,0
3091,27,21.0,823.0,2,VIP,0
3099,48,16.0,310.0,1,New,0
3102,32,5.0,32.0,1,New,0
3104,89,21.0,2006.0,0,At Risk,1
3107,31,13.0,350.0,1,New,0
3112,2,5.0,24.0,1,New,0
3117,95,15.0,450.0,3,Loyal,0
3120,49,4.0,22.0,1,New,0
3129,30,6.0,45.0,1,New,0
3130,95,10.0,44.0,3,Loyal,0
3136,88,22.0,663.0,0,At Risk,0
3138,84,22.0,1676.0,0,At Risk,1
3139,53,19.0,2052.0,0,At Risk,0
3152,84,9.0,89.0,3,Loyal,0
3153,24,4.0,17.0,1,New,0
3158,1,5.0,39.0,1,New,0
3170,86,15.0,1042.0,0,At Risk,0
3174,61,20.0,1957.0,0,At Risk,1
3179,75,19.0,1572.0,0,At Risk,0
3182,81,15.0,263.0,3,Loyal,1
3194,86,19.0,1230.0,0,At Risk,0
3197,38,20.0,670.0,2,VIP,0
3202,60,19.0,1250.0,0,At Risk,0
3220,30,9.0,156.0,1,New,0
3225,71,14.0,265.0,3,Loyal,1
3231,97,5.0,30.0,3,Loyal,0
3233,89,29.0,1117.0,0,At Risk,0
3254,65,14.0,960.0,0,At Risk,0
3262,31,25.0,1655.0,2,VIP,1
3265,36,5.0,46.0,1,New,0
3266,96,7.0,125.0,3,Loyal,0
3267,27,20.0,608.0,2,VIP,0
3270,96,11.0,128.0,3,Loyal,0
3276,53,7.0,78.0,3,Loyal,0
3277,9,15.0,365.0,1,New,0
3281,69,19.0,411.0,0,At Risk,0
3283,57,22.0,909.0,0,At Risk,0
3286,71,7.0,42.0,3,Loyal,0
3298,92,31.0,1152.0,0,At Risk,0
3308,54,9.0,94.0,3,Loyal,0
3310,94,16.0,211.0,3,Loyal,0
3312,12,11.0,89.0,1,New,0
3321,42,20.0,542.0,2,VIP,0
3332,87,12.0,165.0,3,Loyal,0
